N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
162.02974609375,162.038642578125,162.08591796875,162.138095703125,37.79962,37.393322,37.798027,37.78402
148.47080078125,148.47892578125,148.52208984375,148.5696875,37.45874,36.7203,37.493492,37.544987
134.911884765625,134.91923828125,134.958291015625,135.001337890625,32.8344,31.25433,32.88298,33.88566
121.35298828125,121.3595703125,121.394501953125,121.4330078125,6.9492493,5.26341,8.387702,11.259341
107.79408203125,107.799892578125,107.83072265625,107.8646875,0.073961765,0.046895586,0.12331515,0.42272562
94.2351953125,94.240224609375,94.26693359375,94.29638671875,0.0009894044,0.0,0.00075626763,0.015954934
80.6762939453125,80.680556640625,80.7031591796875,80.7280712890625,0.0,0.0,0.0,3.2055086e-05
67.1173974609375,67.12087890625,67.139375,67.1597607421875,0.0,0.0,0.0,0.0
53.558466796875,53.561181640625,53.57556640625,53.591416015625,0.0,0.0,0.0,0.0
39.999541015625,40.00147705078125,40.0117529296875,40.023076171875,0.0,0.0,0.0,0.0
26.44064208984375,26.44180419921875,26.44796875,26.45476318359375,0.0,0.0,0.0,0.0
12.8817431640625,12.88213134765625,12.88418701171875,12.8864501953125,0.0,0.0,0.0,0.0
