N/A,N/A
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
229.8716796875,229.96728515625,229.90830078125,229.85427734375,55.829548,99.940216,11.820481,59.56142
216.30939453125,216.39896484375,216.34423828125,216.292890625,54.307697,99.93042,17.084534,57.555065
202.7473046875,202.83064453125,202.78017578125,202.73162109375,52.566986,99.90871,24.724146,55.52326
189.1853515625,189.26232421875,189.21611328125,189.1704296875,50.877808,99.90037,34.532265,53.65129
175.623515625,175.69400390625,175.6520703125,175.6092578125,49.274963,99.88087,37.942856,51.986275
162.06173828125,162.125654296875,162.08802734375,162.048193359375,47.78369,99.874916,44.29902,51.308655
148.5,148.5573046875,148.52400390625,148.48736328125,46.354412,99.868774,70.93304,70.288
134.93830078125,134.98896484375,134.96001953125,134.92677734375,41.722374,99.86655,100.0,100.0
121.37662109375,121.4206640625,121.39603515625,121.3662890625,13.476349,99.85085,95.186905,99.99628
107.81494140625,107.85251953125,107.8320703125,107.8058203125,1.1107941,99.84569,27.662935,36.555153
94.25326171875,94.28466796875,94.2680859375,94.24533203125,0.00034037992,99.84383,8.240053,11.188875
80.69158203125,80.717177734375,80.70412109375,80.68486328125,1.7926428e-07,99.84145,5.6297665,8.047338
67.1299072265625,67.15005859375,67.14015625,67.12439453125,3.235554e-05,99.83008,3.706301,5.196047
53.5681982421875,53.58328125,53.576162109375,53.5639013671875,0.0006832315,99.81426,2.0989316,2.9428153
40.0064892578125,40.0168603515625,40.012177734375,40.00341552734375,0.0011581585,99.80737,0.9948358,1.3181477
26.44481201171875,26.45076171875,26.44822265625,26.4429638671875,0.0010095487,50.221397,0.30608782,0.38200277
12.883134765625,12.88503662109375,12.88427001953125,12.88251708984375,0.001124798,1.0064193,0.011174723,0.001313581
