N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
650.7509765625,650.7449609375,650.858359375,651.007421875,73.32197,72.17789,78.72702,73.95834
637.133515625,637.126640625,637.231171875,637.378203125,71.62579,70.67766,78.494125,72.47468
623.520234375,623.5125,623.60828125,623.753046875,69.31552,68.58941,76.345695,70.221664
609.91109375,609.902421875,609.990078125,610.132734375,66.73418,66.36101,73.75932,67.669754
596.30609375,596.29640625,596.376328125,596.517109375,63.840122,63.92736,71.108574,64.84559
582.705234375,582.694609375,582.7669921875,582.906171875,60.439735,61.00196,68.09484,61.555893
569.108671875,569.097265625,569.16234375,569.299921875,56.269405,57.29699,64.586555,57.56002
555.516875,555.504453125,555.562421875,555.698515625,50.938213,52.508183,60.119755,52.467224
541.9302734375,541.9165625,541.96734375,542.1021484375,44.245182,46.494408,54.41403,46.220192
528.3491015625,528.33375,528.3772265625,528.51078125,36.27825,39.161934,47.67099,38.80653
514.7725390625,514.7561328125,514.7925390625,514.925,28.936897,31.109476,39.732113,30.943924
501.1987890625,501.1823046875,501.2136328125,501.3446875,26.025875,26.705135,30.523167,26.45405
487.6268359375,487.610625,487.6391015625,487.7679296875,24.28921,24.782808,26.08688,24.295225
474.0565625,474.040390625,474.066875,474.193125,22.769753,23.465065,23.59608,22.623707
460.487890625,460.471328125,460.4962890625,460.619921875,21.51391,22.403126,21.419022,21.096775
446.919921875,446.903046875,446.9273046875,447.048359375,23.052933,22.661106,19.252144,20.309977
433.3515625,433.3351171875,433.359765625,433.4772265625,28.602898,27.326393,17.4191,25.315159
419.7828125,419.7670703125,419.793046875,419.9051953125,34.29857,33.285763,20.042847,32.202816
406.2140625,406.198984375,406.22609375,406.33265625,38.49958,37.91463,26.865974,37.197735
392.6457421875,392.631171875,392.658515625,392.7603125,42.46502,42.038906,33.832237,41.380135
379.0778125,379.0637109375,379.090546875,379.188359375,47.063538,46.61708,39.43415,45.920486
365.5103125,365.496640625,365.5228125,365.616875,52.225746,51.71919,44.547935,51.010117
351.9430859375,351.9299609375,351.955390625,352.0459375,56.50246,55.976788,49.76772,55.39921
338.37640625,338.363828125,338.3884375,338.47578125,57.89485,57.307938,54.089287,57.011555
324.810546875,324.7984765625,324.82203125,324.9065625,57.612293,56.93951,55.49715,56.70068
311.2455859375,311.2337890625,311.256328125,311.338046875,56.826347,56.099346,55.119175,55.8425
297.68138671875,297.66978515625,297.691328125,297.77017578125,55.892994,55.1481,54.241795,54.804775
284.11779296875,284.1064453125,284.1269140625,284.20283203125,54.914833,54.209114,53.31309,53.81054
270.5546875,270.543671875,270.56296875,270.6358984375,53.838585,53.185387,52.50635,52.834217
256.99197265625,256.98134765625,256.999453125,257.0692578125,52.620052,52.058857,51.66627,51.778347
243.4295703125,243.419375,243.4363671875,243.5028515625,51.28021,50.817806,50.656765,50.60056
229.8674609375,229.85771484375,229.87365234375,229.9366796875,49.850437,49.47066,49.45936,49.29015
216.305546875,216.29625,216.31119140625,216.370625,48.387173,48.060802,48.129887,47.906242
202.74380859375,202.734921875,202.7489453125,202.8046484375,47.026134,46.689304,46.774582,46.59744
189.1821875,189.17375,189.1868359375,189.23875,45.887417,45.580463,45.738144,45.55117
175.620625,175.6126953125,175.6248828125,175.672890625,44.77929,44.52634,44.77631,44.52812
162.059091796875,162.05169921875,162.06298828125,162.107021484375,43.70678,43.48559,43.823086,43.543804
148.49759765625,148.49080078125,148.50115234375,148.5412109375,42.92967,42.762413,43.15553,42.883465
134.936162109375,134.93,134.93939453125,134.975537109375,42.414017,42.384743,42.704914,42.464985
121.37474609375,121.369228515625,121.377646484375,121.409951171875,41.091454,41.50472,41.823624,41.265957
107.81333984375,107.808466796875,107.815908203125,107.8444140625,44.69636,45.05023,45.26258,45.137165
94.25193359375,94.247685546875,94.254140625,94.27884765625,43.6518,26.23543,29.98515,30.91423
80.69046875,80.686865234375,80.69232421875,80.713232421875,34.57515,30.53366,35.29117,36.735268
67.12896484375,67.126015625,67.1304833984375,67.147587890625,32.445686,30.79687,35.40194,37.31076
53.567421875,53.565126953125,53.56859375,53.58189453125,28.1683,24.568953,28.238115,29.941776
40.0058837890625,40.004248046875,40.00671875,40.01621826171875,17.446678,15.350897,17.666796,18.79414
26.4444091796875,26.4434326171875,26.4449072265625,26.45060302734375,5.9999685,6.02166,6.936423,7.4007163
12.882989501953125,12.88266357421875,12.883154296875,12.88505126953125,0.084119335,0.042004023,0.04833421,0.05286017
