N/A,N/A
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
677.9965625,678.03859375,678.25234375,677.9121875,73.20371,73.99846,72.907425,72.41067
664.3721875,664.408125,664.619453125,664.288828125,73.755356,74.97683,73.471405,72.937004
650.7509765625,650.7792578125,650.988359375,650.66875,73.32197,74.97739,73.020485,72.47133
637.133515625,637.153515625,637.3603125,637.052890625,71.62579,73.53331,71.27751,70.755714
623.520234375,623.53203125,623.73640625,623.441484375,69.31552,71.12324,68.90058,68.38151
609.91109375,609.91515625,610.1171875,609.834453125,66.73418,68.217,66.24437,65.729614
596.30609375,596.302734375,596.502578125,596.231640625,63.840122,64.754234,63.278484,62.760895
582.705234375,582.69515625,582.89265625,582.633203125,60.439735,60.37039,59.78665,59.28197
569.108671875,569.09328125,569.2873046875,569.039140625,56.269405,54.608578,55.53768,55.06003
555.516875,555.497578125,555.686953125,555.4498828125,50.938213,46.86979,50.151016,49.718597
541.9302734375,541.9090625,542.0918359375,541.865546875,44.245182,37.111423,43.520447,43.212833
528.3491015625,528.3278125,528.502421875,528.2860546875,36.27825,27.57695,35.97265,35.849907
514.7725390625,514.751640625,514.9191015625,514.711015625,28.936897,22.716259,29.105711,29.206425
501.1987890625,501.178515625,501.3403125,501.1389453125,26.025875,19.797203,26.182032,26.35855
487.6268359375,487.607421875,487.7640234375,487.56875,24.28921,16.95235,24.431456,24.609493
474.0565625,474.038203125,474.189609375,474.000078125,22.769753,13.793858,22.943497,23.097252
460.487890625,460.4706640625,460.616640625,460.4328125,21.51391,10.369421,21.699736,21.742392
446.919921875,446.9046875,447.0447265625,446.866796875,23.052933,6.776082,23.004522,22.146662
433.3515625,433.340234375,433.4730078125,433.30109375,28.602898,3.2028859,28.464962,27.021528
419.7828125,419.776875,419.900703125,419.734921875,34.29857,1.0256782,34.286236,32.86782
406.2140625,406.21390625,406.32828125,406.1684765625,38.49958,3.2936478,38.568474,37.138626
392.6457421875,392.6504296875,392.75625,392.6021875,42.46502,7.6140404,42.46627,40.65058
379.0778125,379.08640625,379.1846875,379.03625,47.063538,9.278094,46.73513,44.236088
365.5103125,365.5223828125,365.6137109375,365.4708203125,52.225746,9.177969,51.09742,48.17248
351.9430859375,351.95859375,352.043359375,351.90578125,56.50246,8.458155,54.394756,52.20373
338.37640625,338.395,338.473671875,338.3412109375,57.89485,7.676878,56.280216,55.83646
324.810546875,324.831640625,324.90478515625,324.77716796875,57.612293,6.9315004,57.09562,58.639137
311.2455859375,311.2683984375,311.3365234375,311.21369140625,56.826347,6.1764283,57.25786,60.42718
297.68138671875,297.7052734375,297.76884765625,297.6508203125,55.892994,5.369393,57.002647,61.193306
284.11779296875,284.1422265625,284.201640625,284.0884765625,54.914833,4.4973936,56.557476,61.223736
270.5546875,270.57923828125,270.63484375,270.5265625,53.838585,3.5688422,55.9813,60.985394
256.99197265625,257.01625,257.06833984375,256.965078125,52.620052,2.608269,55.282883,60.197998
243.4295703125,243.4533203125,243.5020703125,243.40390625,51.28021,1.6630961,54.49976,59.026394
229.8674609375,229.890390625,229.936015625,229.8430078125,49.850437,0.82198524,53.631123,57.719536
216.305546875,216.3275,216.37009765625,216.2823828125,48.387173,0.29317862,52.69217,56.528183
202.74380859375,202.7645703125,202.8042578125,202.7219140625,47.026134,0.21390733,51.838352,55.268818
189.1821875,189.2016796875,189.2384375,189.1615625,45.887417,0.8612303,51.120487,53.797382
175.620625,175.63875,175.67265625,175.60125,44.77929,5.503524,50.400154,52.203316
162.059091796875,162.075810546875,162.106826171875,162.040947265625,43.70678,14.030329,49.919884,51.09583
148.49759765625,148.512861328125,148.54095703125,148.48068359375,42.92967,19.29251,52.959568,52.601448
134.936162109375,134.949951171875,134.97505859375,134.920537109375,42.414017,20.164516,99.979324,99.97206
121.37474609375,121.387041015625,121.4091796875,121.360517578125,41.091454,21.830769,100.0,100.0
107.81333984375,107.824130859375,107.843515625,107.8006640625,44.69636,4.9495296,99.99987,100.0
94.25193359375,94.26123046875,94.278037109375,94.240888671875,43.6518,0.23105505,31.666082,43.97492
80.69046875,80.6983251953125,80.7125390625,80.681103515625,34.57515,0.0039912523,30.448,46.665684
67.12896484375,67.135419921875,67.147021484375,67.121279296875,32.445686,2.6579574e-08,28.29646,45.61817
53.567421875,53.572490234375,53.58146484375,53.56142578125,28.1683,9.070088e-09,21.484457,35.828205
40.0058837890625,40.00955322265625,40.01592529296875,40.00158203125,17.446678,2.3146086e-07,12.966587,22.17695
26.4444091796875,26.446650390625,26.45044189453125,26.44181396484375,5.9999685,1.602525e-07,4.9684553,8.658536
12.882989501953125,12.883746337890624,12.88500244140625,12.882119140625,0.084119335,3.4703684e-09,0.03430145,0.06174659
