N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
460.5734375,460.5483984375,460.587109375,460.629765625,74.24309,72.76095,71.73081,59.517933
446.9878125,446.96296875,447.003984375,447.0459375,75.12435,73.049545,72.02912,57.866566
433.404375,433.3801953125,433.423046875,433.464609375,75.19546,72.7685,71.86327,55.453846
419.823671875,419.8,419.843984375,419.885546875,74.61344,71.92547,71.37379,52.501972
406.2456640625,406.222421875,406.26703125,406.308515625,73.617226,70.62065,70.40554,49.104145
392.670078125,392.6473046875,392.692265625,392.73328125,72.31242,69.041084,69.48976,45.349365
379.09671875,379.0744140625,379.1193359375,379.159921875,70.77843,67.2654,68.43322,41.306824
365.525234375,365.5034375,365.5480078125,365.5883203125,69.08694,65.287834,67.25099,36.9948
351.955390625,351.9340625,351.978125,352.018359375,67.39042,63.034653,65.84241,32.461548
338.38703125,338.36609375,338.409453125,338.44984375,65.817764,60.62725,64.27086,27.840525
324.81984375,324.79935546875,324.84197265625,324.88232421875,64.35204,58.256817,62.61814,23.275099
311.2537109375,311.2336328125,311.27541015625,311.3155859375,62.849594,56.118607,60.891525,18.694214
297.6884765625,297.6688671875,297.70966796875,297.7494921875,61.211617,54.5366,59.165924,13.9545
284.1240625,284.10498046875,284.14462890625,284.18390625,59.59978,53.889114,57.527325,9.394371
270.5603125,270.5418359375,270.58015625,270.6187109375,58.292656,54.1978,56.080997,6.0133452
256.99708984375,256.97921875,257.01609375,257.053671875,57.358334,54.6922,54.882473,4.8038864
243.43421875,243.417109375,243.4523828125,243.488671875,56.722942,54.761658,53.966763,5.7732596
229.8716796875,229.855390625,229.8890234375,229.923671875,55.829548,54.27874,53.156933,8.255207
216.30939453125,216.293984375,216.32583984375,216.3587109375,54.307697,53.159542,52.247417,11.889442
202.7473046875,202.73283203125,202.7628125,202.7937109375,52.566986,51.667866,51.162136,16.568655
189.1853515625,189.17185546875,189.1998828125,189.22875,50.877808,50.06238,49.881683,20.748213
175.623515625,175.611015625,175.63703125,175.6637890625,49.274963,48.458027,48.17777,25.138117
162.06173828125,162.050205078125,162.0741796875,162.098828125,47.78369,46.833523,46.17946,30.051014
148.5,148.489453125,148.5113671875,148.5338671875,46.354412,45.01642,45.91085,36.23822
134.93830078125,134.928759765625,134.94859375,134.9689453125,41.722374,40.74509,40.839516,40.394226
121.37662109375,121.3680859375,121.3858203125,121.40404296875,13.476349,15.220342,12.144261,13.829035
107.81494140625,107.80740234375,107.82306640625,107.839130859375,1.1107941,1.6559347,0.85544676,0.6259555
94.25326171875,94.24673828125,94.26029296875,94.274228515625,0.00034037992,0.0022657167,0.00040779347,0.00096502894
80.69158203125,80.6860595703125,80.6975390625,80.709326171875,1.7926428e-07,3.21267e-08,8.169616e-07,2.3837775e-07
67.1299072265625,67.1253857421875,67.134775390625,67.144423828125,3.235554e-05,4.3189804e-08,0.00062180747,0.00023111759
53.5681982421875,53.5646826171875,53.5719873046875,53.5794921875,0.0006832315,0.00016311044,0.001861119,0.00097335136
40.0064892578125,40.0039794921875,40.0091943359375,40.0145556640625,0.0011581585,0.0005986612,0.0021547133,0.0014093714
26.44481201171875,26.4433056640625,26.446435546875,26.44965087890625,0.0010095487,0.0008630883,0.001235685,0.0011347965
12.883134765625,12.8826318359375,12.88367431640625,12.88474609375,0.001124798,0.0011757561,7.2090945e-05,0.00075902435
